T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.003,9988.777293,40.43665766,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.364294213,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,4988.777293,36.45509009,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.328424235,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,988.7772931,23.60365766,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.212645564,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,188.7772931,8.323667568,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.074987996,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,88.77729308,4.39982973,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.039638106,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,78.77729308,3.936699099,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.035465758,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,68.77729308,3.486642342,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.031411192,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,58.77729308,3.021218919,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.027218188,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,48.77729308,2.551698198,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.022988272,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,38.77729308,2.07078018,11.1,5.212,0.83879,40.52,0.136,2.39,9988.777293,1.8,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.018655677,0.1,0.013,0.0007,0.37,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
