T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0153,9988.777,158.4084146,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.965904967,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,4988.777,122.685122,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.748080012,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,988.777,37.33207317,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.227634593,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.983,188.777,8.470304878,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.0516482,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,88.777,4.423817073,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.026974494,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9765,78.777,3.984629878,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.024296524,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9765,68.777,3.571047561,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.02177468,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,58.777,3.159587195,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.019265776,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0023,48.777,2.746355488,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.01674607,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,38.777,2.335379878,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.014240121,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9766,28.777,1.927965244,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.011755886,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0089,18.777,1.510388415,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.009209685,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9636,8.777,1.097364634,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.006691248,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.983,-1.223,0.683010976,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.004164701,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9636,-11.223,0.271787012,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.001657238,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9765,-21.223,-0.21336561,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.00130101,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9701,-31.223,-0.624594512,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.003808503,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0153,-9990.639,-158.4962805,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.966440735,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9636,-4990.639,-122.6102439,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.747623438,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,-990.639,-37.30077439,16.4,7.9001,0.286339,158.45,0.010368651,17.396,9988.777,0.57122,1.00E+00,1.38E-16,6.02E+23,55.845,9.27E-21,1.50E+00,0.33,0.227443746,0.1,0.0044,0.000053,0.966440735,0.000579497,0.66,0.33,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
