T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0036,9988.777293,29.343875,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.366798438,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9972,4988.777293,23.66565,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.295820625,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9713,988.7772931,11.1498925,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.139373656,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9778,188.7772931,3.29488125,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.041186016,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0037,88.77729308,1.72197875,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.021524734,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9972,78.77729308,1.5459775,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.019324719,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0037,68.77729308,1.3727325,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.017159156,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9843,58.77729308,1.202015875,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.015025198,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9843,48.77729308,1.028750125,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.012859377,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9972,38.77729308,0.846932,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.01058665,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9908,28.77729308,0.66427225,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.008303403,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9843,18.77729308,0.479659375,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.005995742,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9972,8.777293077,0.297154,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.003714425,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9907,-1.222706923,0.108888313,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.001361104,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9908,-11.22270692,-0.084598275,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.001057479,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9843,-21.22270692,-0.29186425,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.003648303,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9648,-31.22270692,-0.485690375,8,5.194,0.83976,29.35,0.132,6.64,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.00607113,0.1,0.015,0.00079,0.37,0.0022,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
