T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
3.00E+02,9988.777293,39.36493069,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.389751789,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,4988.777293,33.71239604,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.333786099,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,988.7772931,18.88578218,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.186987942,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,188.7772931,6.457316832,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.06393383,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,88.77729308,3.403434653,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.033697373,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,78.77729308,3.03730495,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.030072326,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,68.77729308,2.685133663,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.026585482,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,58.77729308,2.322287129,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.022992942,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,48.77729308,1.947928713,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.019286423,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,38.77729308,1.57080297,10.1,5.1949,0.83971,39.36,0.02944,0.5,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.015552505,0.1,0.0093,0.0005,0.39,0.00133,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
