T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0037,9988.777293,42.59813043,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.463023157,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9843,4988.777293,36.54606522,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.397239839,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0101,988.7772931,20.6628913,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.224596645,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9972,188.7772931,6.879682609,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.074779159,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9972,88.77729308,3.59598913,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.039086838,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9713,78.77729308,3.217027174,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.034967687,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9907,68.77729308,2.848179348,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.030958471,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9843,58.77729308,2.471517391,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.026864319,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9648,48.77729308,2.091147826,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.022729868,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9713,38.77729308,1.708872826,9.2,5.2671,0.83586,42.59,0.13352,3.09,9988.777293,0.2,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.018574705,0.1,0.0081,0.00043,0.46,0.00328,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
