T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0289,9988.777293,39.06901075,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.42009689,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,4988.777293,35.0828172,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.377234594,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,988.7772931,22.08546237,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.23747809,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,188.7772931,7.870989247,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.084634293,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,88.77729308,4.192244086,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.045077893,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,78.77729308,3.7759,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.040601075,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,68.77729308,3.34127957,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.035927737,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,58.77729308,2.912593548,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.03131821,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,48.77729308,2.470375269,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.026563175,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,38.77729308,2.020648387,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.021727402,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,28.77729308,1.567825806,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.016858342,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,18.77729308,1.08636129,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.011681304,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,8.777293077,0.603863656,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.006493158,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,-1.222706923,0.116436774,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.001252009,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-11.22270692,-0.372097742,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.004001051,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,-21.22270692,-0.923964731,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.009935105,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-31.22270692,-1.382183871,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.014862192,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,-9990.639421,-39.19335484,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.421433923,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-4990.639421,-35.16187097,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.378084634,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-990.6394212,-22.1841828,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.2385396,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-190.6394212,-8.018804301,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.086223702,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,-90.63942115,-4.384297849,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.047142988,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,-80.63942115,-3.961062366,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.042592068,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-70.63942115,-3.54567957,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.038125587,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-60.63942115,-3.111670968,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.033458828,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-50.63942115,-2.679026882,9.3,5.2,0.8346,39.13,0.246,4.97,9988.777293,1.36,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.028806741,0.1,0.022,0.0012,0.42,0.004,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
