T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0095,9988.777293,41.35316561,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.263395959,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,4988.777293,38.22782803,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.243489351,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9642,988.7772931,26.94327389,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499821,0.33,0.171613209,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,188.7772931,11.00297452,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.07008264,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,88.77729308,6.181035669,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.039369654,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,78.77729308,5.598477707,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.035659094,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0289,68.77729308,5.013056688,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.031930297,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,58.77729308,4.423365605,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.028174303,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,48.77729308,3.819501911,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.024328038,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,38.77729308,3.19666242,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.020360907,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,28.77729308,2.559173885,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.016300471,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,18.77729308,1.908412102,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.012155491,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,8.777293077,1.23997707,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.007897943,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,-1.222706923,0.557351274,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.003550008,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-11.22270692,-0.131634459,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.000838436,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-21.22270692,-0.888701274,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.005660518,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-31.22270692,-1.543373248,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.009830403,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-9990.639421,-41.33849045,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.263302487,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-4990.639421,-38.1956879,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.243284636,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-990.6394212,-26.96257962,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.171736176,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-190.6394212,-11.19783439,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.071323786,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-90.63942115,-6.431955414,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.040967869,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-80.63942115,-5.85356242,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.037283837,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-70.63942115,-5.296965605,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.033738634,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,-60.63942115,-4.704198089,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.029963045,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-50.63942115,-4.108617197,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.026169536,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-40.63942115,-3.498398089,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.02228279,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,-30.63942115,-2.869609554,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.018277768,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-20.63942115,-2.212207643,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.014090495,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,-10.63942115,-1.544758599,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.009839227,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-0.639421152,-0.87513949,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.005574137,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,9.360578848,-0.186747134,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.001189472,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,19.36057885,0.582436433,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.003709786,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,29.36057885,1.250294904,15.7,5.253,0.8366,41.35,0.736715279,10.55029664,9989.708357,1.238143924,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.007963662,0.1,0.037,0.002,0.263395959,0.008005181,0.66,0.66,0.66,0,7.90E-23,7.40E+15,0.0062,2.00E-28
