T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
3.00E+02,9988.777293,37.53246753,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.487434643,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,4988.777293,31.68831169,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.411536516,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,988.7772931,17.14285714,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.222634508,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,188.7772931,5.649350649,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.07336819,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,88.77729308,2.961038961,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.038455051,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,78.77729308,2.649350649,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.034407151,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,68.77729308,2.350649351,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.030527914,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,58.77729308,2.025974026,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.026311351,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,48.77729308,1.714285714,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.022263451,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,38.77729308,1.38961039,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.018046888,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,28.77729308,1.057142857,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.013729128,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,18.77729308,0.707792208,7.7,5.319,0.83315,37.4,0.0654,1.62,9988.777293,0.58,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.009192107,0.1,0.019,0.00097,0.49,0.0019,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
