T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0289,9988.777293,32.68734444,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.181596358,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,4988.777293,30.01234444,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.166735247,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,988.7772931,19.33281111,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.107404506,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,188.7772931,7.267583333,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.040375463,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,88.77729308,4.005327778,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.022251821,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,78.77729308,3.586582778,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.01992546,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,68.77729308,3.192872778,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.017738182,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,58.77729308,2.790551667,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.015503065,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,48.77729308,2.374784444,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.013193247,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,38.77729308,1.948066667,18,5.257,0.8364,32.68,0.193,3.79,9988.777293,0.666,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.010822593,0.1,0.062,0.0033,0.18,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
