T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
299.9901,9988.777293,54.91856089,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,3.30E-01,0.202651516,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,4988.777293,50.9501107,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,3.30E-01,0.188007789,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,988.7772931,35.11330627,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,3.30E-01,0.129569396,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,188.7772931,12.87899262,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,3.30E-01,0.047523958,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,88.77729308,6.678147601,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,3.30E-01,0.024642611,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,78.77729308,5.921309963,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,3.30E-01,0.021849852,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,68.77729308,5.217904059,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,3.30E-01,0.019254259,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,58.77729308,4.478819188,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,3.30E-01,0.016527008,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,48.77729308,3.739741697,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,3.30E-01,0.013799785,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,38.77729308,2.99322583,27.1,5.285,0.8369,54.96,0.09,1.12,9988.777293,1.44,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,3.30E-01,0.011045114,1.00E-01,0.012,0.003,0.2,0.011,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
