T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0095,9988.777293,39.62801754,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.347614189,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,4988.777293,33.20464035,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.291268775,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,988.7772931,21.72745614,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.190591721,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,188.7772931,8.327075439,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.073044521,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9642,88.77729308,4.59752807,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499821,0.33,0.040329194,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,78.77729308,4.143597368,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.036347345,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,68.77729308,3.69367193,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.032400631,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,58.77729308,3.227232456,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.028309057,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,48.77729308,2.748315789,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.024108033,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,38.77729308,2.238036842,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.019631902,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,28.77729308,1.706974561,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.014973461,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,18.77729308,1.162437719,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.010196822,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,8.777293077,0.583170175,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.005115528,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-1.222706923,-0.011012202,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,9.66022E-05,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,-11.22270692,-0.600694386,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.005269249,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-21.22270692,-1.265130702,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.011097638,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-31.22270692,-1.810216667,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.015879094,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-9990.639421,-36.92292105,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.323885272,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-4990.639421,-33.20014912,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.291229378,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,-990.6394212,-21.759,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.190868421,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-190.6394212,-8.495359649,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.074520699,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-90.63942115,-4.839163158,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.0424488,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-80.63942115,-4.384714912,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.038462412,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-70.63942115,-3.946603509,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.034619329,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-60.63942115,-3.479242105,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.030519668,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,-50.63942115,-3.01345614,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.026433826,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0224,-40.63942115,-2.512024561,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500112,0.33,0.022035303,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-30.63942115,-1.999101754,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.01753598,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,-20.63942115,-1.467235965,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.012870491,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,-10.63942115,-0.895477193,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.007855063,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,-0.639421152,-0.307736228,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.002699441,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,9.360578848,0.292307544,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.002564101,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,19.36057885,0.963265789,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.0084497,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,29.36057885,1.519892105,11.4,5.2353,0.83754,38.28,0.167,2.76,9988.777293,1.73,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.013332387,0.1,0.0099,0.00053,38.28,0.005,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
