T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0289,9988.777293,39.05043852,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.160042781,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,4988.777293,35.51491803,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.145552943,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,988.7772931,23.75139344,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.097341776,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,188.7772931,8.55052459,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.035043134,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,88.77729308,4.531303279,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.018570915,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,78.77729308,4.051033607,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.016602597,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,68.77729308,3.587042213,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.014700993,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,58.77729308,3.108651639,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.012740376,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,48.77729308,2.630618443,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.010781223,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,38.77729308,2.136671721,24.4,5.216,0.83857,39.03,0.238,4.3,9988.777293,2.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.008756851,0.1,0.0052,0.00028,0.16,0.002,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
