T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0095,9988.777293,45.79689655,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.52640111,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,4988.777293,41.1566092,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.473064474,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0224,988.7772931,25.216,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.28983908,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,188.7772931,8.730470115,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.100350231,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,88.77729308,4.613902299,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.05303336,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,78.77729308,4.127097701,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.047437905,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,68.77729308,3.635755172,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.041790289,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9706,58.77729308,3.149785057,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.036204426,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,48.77729308,2.646418391,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.030418602,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0224,38.77729308,2.132618391,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.024512855,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,28.77729308,1.610775862,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.018514665,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,18.77729308,1.062720575,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.012215179,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,8.777293077,0.491454713,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.005648905,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9513,-1.222706923,-0.071435011,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.000821093,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,-11.22270692,-0.648331494,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.007452086,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-21.22270692,-1.285465517,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.014775466,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-31.22270692,-1.820566667,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.020926054,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-9990.639421,-47.56686207,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.546745541,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,-4990.639421,-41.0702069,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.472071344,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,-990.6394212,-25.25381609,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.290273748,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-190.6394212,-8.867501149,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.101925301,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,-90.63942115,-4.759402299,8.7,5.282,0.835,46.68,0.3443,0.71,9988.777293,0.76,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.054705774,0.1,0.036,0.0019,0.55,0.00116,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
