T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
299.9901,9988.777293,43.43457317,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.529689917,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9642,4988.777293,39.21245122,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499821,0.33,0.478200625,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9965,988.7772931,25.94508537,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.31640348,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,188.7772931,9.981779268,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.121729015,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,88.77729308,5.512010976,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.067219646,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,78.77729308,4.961017073,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.060500208,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,68.77729308,4.413820732,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.053827082,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,58.77729308,3.855308537,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.047015958,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,48.77729308,3.273846341,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.039924955,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,38.77729308,2.655769512,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.032387433,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,28.77729308,2.028803659,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.024741508,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,18.77729308,1.353978049,8.2,5.2398,0.8373,43.41,0.206,2.73,9988.777293,2.5,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.016511927,0.1,0.0078,0.8373,43.41,0.206,2.73,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
