T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
299.9901,9988.777293,36.64013793,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.631726516,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,4988.777293,32.63905172,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.562742271,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,988.7772931,20.62196552,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.35555113,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,188.7772931,7.546117241,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.13010547,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9578,88.77729308,4.107337931,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499789,0.33,0.070816171,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,78.77729308,3.683805172,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.063513882,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,68.77729308,3.272536207,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.056423038,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9706,58.77729308,2.848962069,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499853,0.33,0.049120036,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,48.77729308,2.406724138,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.041495244,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,38.77729308,1.950046552,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.033621492,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,28.77729308,1.46973431,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.025340247,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,18.77729308,0.972186552,5.8,5.1986,0.83951,36.62,0.064,1.13,9988.777293,1.69,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.016761837,0.1,0.0087,0.00047,0.63,0.008,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
