T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
299.9972,9988.777293,42.45055405,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.573656136,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9907,4988.777293,36.218,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.489432433,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9713,988.7772931,20.30009459,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.274325603,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9908,188.7772931,6.906816216,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.093335354,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9972,88.77729308,3.668812162,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.049578543,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9648,78.77729308,3.290671622,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.044468535,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9972,68.77729308,2.92452027,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.039520544,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9972,58.77729308,2.545143243,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.034393828,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9843,48.77729308,2.165258108,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.029260245,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9843,38.77729308,1.763721622,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.023834076,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9648,28.77729308,1.359897297,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.018376991,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9648,18.77729308,0.943312027,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.01274746,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0101,8.777293077,0.513389189,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.006937692,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9713,-1.222706923,0.086540689,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.00116947,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9584,-11.22270692,-0.350803243,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.004740585,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9908,-21.22270692,-0.842764189,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.011388705,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9908,-31.22270692,-1.250983108,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.016905177,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9778,-9990.639421,-42.39639189,7.4,5.2846,0.83493,42.42,0.14051,2.99,9988.777293,-0.21,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.572924215,0.1,0.0088,0.00047,0.57,0.00229,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
