T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
3.00E+02,9988.777293,33.83106593,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.371769955,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,4988.777293,28.48326374,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.313002898,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,988.7772931,15.448,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.169758242,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,188.7772931,5.250647253,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.05769942,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,88.77729308,2.894579121,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.031808562,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,78.77729308,2.618978022,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.028779978,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,68.77729308,2.345945055,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.025779616,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,58.77729308,2.069885714,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.022745997,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,48.77729308,1.789127473,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.019660741,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,38.77729308,1.496630769,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.016446492,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,28.77729308,1.201331868,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.013201449,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,18.77729308,0.898284615,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.00987126,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,8.777293077,0.583055824,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.006407207,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,-1.222706923,0.262843187,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.002888387,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,-11.22270692,-0.055026264,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.000604685,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,-21.22270692,-0.410232637,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.004508051,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,-31.22270692,-0.717201758,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.007881338,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,-9990.639421,-33.67716484,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.370078735,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
3.00E+02,-4990.639421,-28.41383516,9.1,5.278,0.83526,33.75,0.33206,10.12,9988.777293,0.63,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.312239947,0.1,0.014,0.00074,0.37,0.00497,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
