T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.0024,9988.777293,35.491168,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.283929344,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.97,4988.777293,31.274624,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000795,0.33,0.250196992,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,988.7772931,18.89532,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5000475,0.33,0.15116256,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.983,188.7772931,6.698692,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.053589536,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9765,88.77729308,3.6116776,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.028893421,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0217,78.77729308,3.2583392,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.026066714,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,68.77729308,2.903244,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.023225952,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,58.77729308,2.5373328,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.020298662,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,48.77729308,2.164776,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.017318208,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9701,38.77729308,1.783636,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.014269088,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9766,28.77729308,1.3984128,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.011187302,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.983,18.77729308,0.9906112,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.00792489,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0088,8.777293077,0.57977736,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998855,0.33,0.004638219,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,-1.222706923,0.16381968,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4998535,0.33,0.001310558,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,-11.22270692,-0.2595172,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.002076138,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9636,-21.22270692,-0.71403328,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.005712266,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.983,-31.22270692,-1.1145352,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.008916282,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,-9990.639421,-35.508384,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499886,0.33,0.284067072,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.97,-4990.639421,-31.273216,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.250185728,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0024,-990.6394212,-18.919616,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.151356928,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9765,-190.6394212,-6.79368,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.05434944,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,-90.63942115,-3.7360912,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.02988873,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0023,-80.63942115,-3.3782464,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.500015,0.33,0.027025971,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9959,-70.63942115,-3.0285704,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499983,0.33,0.024228563,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9765,-60.63942115,-2.6705728,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.021364582,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0023,-50.63942115,-2.2982432,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999505,0.33,0.018385946,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.983,-40.63942115,-1.9227016,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.5001445,0.33,0.015381613,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9507,-30.63942115,-1.5281432,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.499918,0.33,0.012225146,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9894,-20.63942115,-1.1412824,12.5,5.3139,0.83339,35.5,0.25196,5.86,9988.777293,0.77,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.4999825,0.33,0.009130259,0.1,0.0099,0.00052,0.28,0.00275,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
