T [K],H [Oe],M [emu/g],ma [mg],pd [g/cm3],A [nm],Ms [emu/g],Mr [emu/g],Hc [Oe],Hs [Oe],Hexc [Oe],u0 [G/Oe],kb [ergs/K],Na [/mol],Mw [g/mol],mb [erg/G],eT [K],eH [Oe],eM [emu/g],ema [mg],epd [g/cm3],eA [nm],eMs [emu/g],eMr [emu/g],eHc [Oe],eHs [Oe],eHex [Oe],eu0 [],ekb [ergs/K],eNa [/mol],eMw [g/mol],emb [erg/G]
300.003,9988.777293,39.04128571,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.214512559,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,4988.777293,36.89437912,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.202716369,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,988.7772931,27.37193407,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.150395242,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,188.7772931,11.6096978,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.063789548,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,88.77729308,6.736637363,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.037014491,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,78.77729308,6.148241758,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.033781548,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,68.77729308,5.548131868,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.030484241,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.003,58.77729308,4.94405989,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.027165164,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0159,48.77729308,4.311697802,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.023690647,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9642,38.77729308,3.66910989,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.020159944,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,28.77729308,3.008851648,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.016532152,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,18.77729308,2.322446703,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.012760696,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9772,8.777293077,1.612687363,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.00886092,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-1.222706923,0.904251648,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.004968416,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9707,-11.22270692,0.184931484,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.001016107,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-21.22270692,-0.615236813,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.003380422,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9966,-31.22270692,-1.313943407,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.007219469,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-9990.639421,-39.04992308,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.214560017,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9836,-4990.639421,-36.87335165,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.202600833,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0095,-990.6394212,-27.39407143,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.150516876,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
300.0224,-190.6394212,-11.75810989,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.064604999,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9771,-90.63942115,-7.005456044,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.038491517,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
299.9901,-80.63942115,-6.407038462,18.2,5.2505,0.83673,39.05,1.081,14.65,9988.777293,1.12,1.00E+00,1.38E-16,6.02E+23,231.5326,9.27E-21,1.50E+00,0.33,0.035203508,0.1,0.0091,0.00048,0.21,0.007,0.47,0.33,0.47,0,7.90E-23,7.40E+15,0.0062,2.00E-28
